CustomerID,Churn,Tenure,PreferredLoginDevice,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Occupation,FrequencyOfWebsiteVisits
50501,0,5,Mobile,34,Female,Suburban,Gold,90,35373.3694,Clothing,2023/8/26,Student,3
50502,0,4,Mobile,52,Other,Suburban,Gold,86,27227.01417,Home Goods,2023/9/19,Student,18
50503,0,3,Mobile,48,Other,Rural,Bronze,88,6584.685881,Home Goods,2023/7/2,Professional,20
50504,1,5,Tablet,49,Male,Suburban,Platinum,41,10275.51348,Electronics,2023/5/8,Self-Employed,24
50505,0,4,Mobile,24,Other,Urban,Gold,87,34231.10878,Home Goods,2023/12/12,Retired,19
50506,0,4,Computer,54,Male,Urban,Platinum,36,3207.598873,Clothing,2023/8/14,Self-Employed,26
50507,0,2,Mobile,58,Female,Rural,Gold,39,5676.567996,Home Goods,2023/1/15,Retired,22
50508,0,3,Computer,70,Female,Urban,Silver,89,4958.171279,Clothing,2023/10/7,Retired,13
50509,0,5,Tablet,54,Other,Rural,Silver,51,23066.42627,Electronics,2023/1/9,Self-Employed,14
50510,0,3,Computer,27,Male,Rural,Silver,56,15505.56415,Electronics,2023/7/18,Self-Employed,15
50511,0,2,Mobile,45,Female,Rural,Bronze,14,1078.944932,Clothing,2023/12/19,Professional,2
50512,0,1,Computer,51,Female,Rural,Platinum,10,3158.247873,Clothing,2023/8/22,Professional,24
50513,0,5,Computer,37,Other,Suburban,Bronze,81,10952.42711,Home Goods,2023/1/21,Student,29
50514,0,4,Computer,66,Female,Suburban,Platinum,62,18557.40895,Home Goods,2023/5/19,Student,7
50515,0,2,Tablet,54,Female,Urban,Gold,22,805.4419217,Home Goods,2023/4/9,Professional,6
50516,0,1,Mobile,27,Male,Suburban,Gold,42,2330.368258,Electronics,2023/11/4,Retired,27
50517,0,1,Mobile,28,Female,Rural,Gold,97,4520.163358,Home Goods,2023/12/21,Self-Employed,17
50518,0,2,Computer,31,Male,Urban,Silver,66,23273.1552,Clothing,2023/1/16,Professional,1
50519,0,1,Mobile,56,Female,Urban,Silver,9,3639.670878,Home Goods,2023/9/10,Student,6
50520,1,4,Tablet,70,Male,Suburban,Platinum,18,4378.427146,Home Goods,2023/12/5,Professional,30
50521,1,5,Tablet,63,Male,Urban,Silver,67,29422.36259,Home Goods,2023/2/27,Student,7
50522,0,5,Mobile,64,Other,Urban,Platinum,27,5585.564202,Home Goods,2023/6/28,Professional,17
50523,0,3,Mobile,65,Female,Suburban,Silver,87,24461.67282,Electronics,2023/5/20,Retired,25
50524,0,5,Mobile,31,Female,Urban,Silver,53,22507.43633,Home Goods,2023/3/24,Retired,1
50525,0,5,Mobile,54,Female,Suburban,Gold,29,4073.86887,Electronics,2023/10/13,Student,19
50526,1,3,Tablet,42,Male,Rural,Platinum,93,44159.08223,Electronics,2023/10/3,Retired,2
50527,1,5,Tablet,39,Female,Rural,Gold,56,13196.1849,Home Goods,2023/10/26,Retired,2
50528,0,4,Tablet,59,Female,Urban,Silver,72,9220.763498,Clothing,2023/12/11,Self-Employed,27
50529,1,1,Tablet,55,Female,Rural,Gold,31,14334.95745,Clothing,2023/5/13,Retired,2
50530,0,3,Computer,59,Male,Suburban,Platinum,88,14570.85731,Clothing,2023/10/22,Professional,8
50531,0,2,Computer,18,Female,Rural,Gold,42,6357.824384,Electronics,2023/10/17,Professional,27
50532,0,5,Mobile,40,Other,Urban,Platinum,36,7252.043248,Electronics,2023/12/7,Student,29
50533,1,4,Mobile,34,Other,Suburban,Silver,18,7913.418377,Electronics,2023/8/30,Student,30
50534,0,1,Tablet,50,Female,Suburban,Platinum,91,43676.16084,Home Goods,2023/7/28,Professional,5
50535,0,3,Mobile,58,Female,Suburban,Gold,33,14882.2246,Clothing,2023/12/1,Professional,24
50536,1,5,Mobile,46,Other,Urban,Gold,62,19740.50633,Electronics,2023/11/23,Self-Employed,26
50537,0,4,Tablet,20,Other,Rural,Platinum,78,21372.93625,Electronics,2023/1/29,Student,17
