CustomerID,Churn,Tenure,PreferredLoginDevice,Age,Gender,Location,MembershipLevel,TotalPurchases,TotalSpent,FavoriteCategory,LastPurchaseDate,Occupation,FrequencyOfWebsiteVisits
50001,1,2,Tablet,58.0,Male,Suburban,Platinum,49.0,10237.707351897774,Home Goods,2023-02-12,Student,7
50002,1,1,Computer,55.0,Other,Rural,Platinum,20.0,633.7578459192816,Electronics,2023-07-11,Professional,14
50003,0,1,Mobile,54.0,Male,Suburban,Bronze,87.0,6106.8631806448275,Home Goods,2023-10-25,Self-Employed,8
50004,0,1,Computer,52.0,Male,Rural,Platinum,50.0,4759.40720763638,Home Goods,2023-04-19,Student,26
50005,0,5,Tablet,67.0,Male,Rural,Silver,16.0,7425.915140907109,Home Goods,2023-11-09,Professional,25
50006,0,4,Computer,63.0,Other,Urban,Gold,59.0,26165.38785422678,Home Goods,2023-05-08,Student,12
50007,0,1,Tablet,27.0,Other,Rural,Silver,15.0,2508.606097404642,Home Goods,2023-02-27,Self-Employed,3
50008,0,5,Mobile,56.0,Female,Rural,Bronze,12.0,4461.209360291154,Clothing,2023-08-13,Self-Employed,12
50009,0,1,Computer,28.0,Female,Urban,Bronze,9.0,4465.59358993141,Electronics,2023-09-08,Self-Employed,3
50010,0,5,Computer,53.0,Other,Rural,Bronze,40.0,18588.272306745566,Home Goods,2023-04-06,Retired,25
50011,0,5,Mobile,41.0,Other,Rural,Platinum,24.0,4312.245401668005,Home Goods,2023-04-23,Retired,27
50012,0,2,Mobile,27.0,Other,Suburban,Silver,87.0,27849.129297995158,Clothing,2023-12-17,Retired,30
50013,0,4,Tablet,39.0,Male,Suburban,Gold,19.0,8552.431767280506,Home Goods,2023-10-12,Professional,26
50014,0,4,Computer,37.0,Female,Rural,Bronze,17.0,5453.107616315044,Electronics,2023-02-13,Self-Employed,20
50015,0,5,Tablet,29.0,Male,Suburban,Bronze,96.0,42098.59480281735,Electronics,2023-12-30,Student,13
50016,0,2,Mobile,33.0,Female,Suburban,Silver,27.0,5169.539803545292,Home Goods,2023-04-25,Self-Employed,18
50017,0,5,Mobile,45.0,Other,Suburban,Bronze,54.0,13863.129821054747,Home Goods,2023-05-05,Retired,17
50018,0,5,Mobile,40.0,Male,Urban,Silver,100.0,22410.543001986385,Home Goods,2023-09-01,Retired,14
50019,1,4,Mobile,69.0,Other,Rural,Gold,40.0,16157.14107809991,Clothing,2023-03-02,Retired,14
50020,0,5,Mobile,51.0,Other,Suburban,Platinum,44.0,8007.931683949172,Clothing,2023-02-07,Professional,8
50021,0,1,Tablet,63.0,Male,Suburban,Platinum,29.0,10193.762348199392,Home Goods,2023-02-27,Retired,5
50022,1,5,Mobile,24.0,Other,Rural,Gold,15.0,2718.4188326616404,Clothing,2023-11-29,Retired,27
50023,1,5,Mobile,64.0,Other,Suburban,Silver,49.0,14741.564245310225,Clothing,2023-05-02,Self-Employed,10
50024,0,5,Mobile,44.0,Female,Suburban,Silver,43.0,3662.1917274791404,Home Goods,2023-10-13,Retired,25
50025,0,2,Mobile,27.0,Other,Urban,Silver,68.0,26345.743810678843,Electronics,2023-01-30,Student,20
50026,0,1,Tablet,50.0,Female,Urban,Gold,14.0,3087.4754095929957,Clothing,2023-01-16,Retired,21
50027,0,2,Mobile,67.0,Female,Urban,Platinum,89.0,14683.030859889755,Home Goods,,Retired,19
50028,0,3,Computer,64.0,Other,Urban,Platinum,98.0,5264.970252292546,Clothing,2023-09-29,Student,10
50029,0,3,Computer,31.0,Female,Suburban,Platinum,29.0,2504.9830158886843,Clothing,2023-04-20,Student,19
50030,0,5,Mobile,37.0,Male,Urban,Bronze,55.0,18448.791678745813,Electronics,2023-09-28,Self-Employed,3
50031,1,2,Mobile,24.0,Other,Suburban,Platinum,84.0,23639.622256614304,Home Goods,2023-10-22,Retired,15
50032,0,2,Mobile,62.0,Other,Urban,Bronze,84.0,32783.42011092854,Electronics,2023-08-03,Professional,3
50033,1,3,Computer,49.0,Female,Rural,Gold,99.0,16510.767404805454,Home Goods,2023-02-17,Professional,8
50034,0,4,Mobile,58.0,Male,Rural,Silver,96.0,45803.41611804592,Clothing,2023-05-28,Self-Employed,1
50035,0,1,Computer,59.0,Other,Rural,Platinum,30.0,1671.2900215279928,Home Goods,2023-10-05,Retired,15
50036,0,2,Mobile,42.0,Other,Rural,Platinum,39.0,11761.463687308049,Home Goods,2023-04-06,Student,9
50037,0,5,Mobile,19.0,Female,Rural,Platinum,62.0,23660.357476961784,Electronics,2023-06-14,Professional,13
50038,0,4,Tablet,35.0,Other,Suburban,Gold,57.0,4843.82051247044,Clothing,2023-01-05,Retired,23
50039,0,4,Mobile,30.0,Male,Suburban,Gold,14.0,2776.7559048004464,Electronics,2023-12-17,Retired,21
50040,1,1,Mobile,44.0,Male,Rural,Silver,21.0,2628.2768265556624,Home Goods,2023-01-09,Retired,9
50041,0,1,Mobile,53.0,Other,Rural,Gold,96.0,44545.01679210344,Clothing,2023-07-06,Student,16
50042,1,4,Computer,66.0,Male,Suburban,Bronze,10.0,3556.2942899663317,Electronics,2023-09-07,Student,22
50043,0,2,Tablet,26.0,Other,Suburban,Gold,83.0,37280.94756790416,Electronics,2023-10-15,Student,7
50044,1,3,Computer,23.0,Female,Suburban,Bronze,32.0,5377.837720394385,Home Goods,2023-10-19,Professional,17
50045,0,3,Computer,37.0,Other,Rural,Platinum,34.0,16783.820689526237,Clothing,2024-01-01,Retired,22
50046,0,5,Tablet,27.0,Female,Rural,Gold,20.0,7364.475452768002,Home Goods,2023-04-27,Self-Employed,13
50047,1,5,Tablet,69.0,Male,Urban,Platinum,48.0,19141.526224622918,Home Goods,2023-09-22,Retired,22
50048,1,5,Computer,69.0,Male,Urban,Silver,42.0,10852.191178947329,Home Goods,2023-12-03,Student,29
50049,0,1,Computer,47.0,Female,Urban,Platinum,11.0,4798.610832786673,Clothing,2023-07-25,Student,27
50050,0,2,Mobile,58.0,Male,Rural,Gold,31.0,7464.452549980644,Home Goods,2023-07-27,Self-Employed,11
50051,1,1,Mobile,46.0,Male,Rural,Platinum,34.0,7472.713606338165,Electronics,2023-09-04,Retired,9
50052,0,5,Tablet,42.0,Male,Urban,Platinum,82.0,8562.331574717293,Home Goods,2023-03-16,Professional,24
50053,0,4,Computer,31.0,Female,Urban,Platinum,88.0,9093.823545428042,Electronics,2023-09-19,Self-Employed,8
50054,0,2,Tablet,68.0,Other,Suburban,Silver,82.0,39476.5456834273,Home Goods,2023-03-26,Professional,27
50055,0,4,Tablet,66.0,Female,Rural,Platinum,91.0,13938.984489732517,Electronics,2023-11-30,Professional,2
50056,0,1,Tablet,27.0,Female,Suburban,Gold,26.0,454.16769144901195,Electronics,2023-04-29,Self-Employed,2
50057,1,1,Mobile,56.0,Other,Urban,Platinum,95.0,4285.449655257881,Home Goods,2023-06-22,Retired,20
50058,0,3,Mobile,56.0,Other,Urban,Bronze,6.0,1434.9714099081798,Home Goods,2023-10-03,Professional,19
50059,0,3,Tablet,25.0,Male,Rural,Platinum,76.0,26578.34078830782,Clothing,2024-01-01,Student,30
50060,0,5,Tablet,32.0,Other,Rural,Bronze,71.0,6738.517747897868,Home Goods,2023-04-01,Professional,17
50061,0,3,Computer,23.0,Female,Suburban,Bronze,29.0,2032.7701761046562,Home Goods,2023-05-22,Retired,10
50062,0,4,Mobile,58.0,Other,Rural,Bronze,60.0,1815.1904649741728,Home Goods,2023-12-21,Professional,19
50063,0,2,Computer,60.0,Other,Urban,Gold,55.0,4582.413553379144,Electronics,2023-12-18,Retired,6
50064,0,2,Tablet,67.0,Male,Suburban,Bronze,29.0,11896.299391075012,Electronics,2023-11-01,Retired,1
50065,0,4,Mobile,69.0,Male,Suburban,Silver,87.0,14142.136423323509,Clothing,2023-01-19,Self-Employed,16
50066,0,5,Tablet,45.0,Other,Rural,Silver,17.0,7725.205778024489,Electronics,2023-03-10,Self-Employed,23
50067,0,4,Mobile,42.0,Other,Suburban,Gold,79.0,23015.236851672595,Clothing,2023-10-28,Self-Employed,6
50068,0,2,Tablet,19.0,Female,Urban,Platinum,54.0,12944.751662483248,Clothing,2023-02-11,Student,19
50069,0,2,Mobile,27.0,Female,Rural,Silver,81.0,27939.366134775177,Electronics,2023-05-18,Retired,12
50070,0,3,Tablet,33.0,Other,Urban,Bronze,26.0,11685.619961273613,Clothing,2023-12-31,Retired,27
50071,0,2,Tablet,23.0,Female,Suburban,Silver,49.0,10214.39010080455,Clothing,2023-12-04,Self-Employed,28
50072,0,5,Computer,51.0,Other,Rural,Platinum,89.0,35583.41115205602,Home Goods,2023-12-11,Self-Employed,14
50073,1,2,Computer,46.0,Other,Urban,Bronze,21.0,5801.992727205385,Clothing,2023-12-24,Student,4
50074,0,3,Tablet,35.0,Female,Urban,Gold,41.0,19529.224023847255,Electronics,2023-08-16,Retired,5
50075,0,4,Tablet,39.0,Male,Urban,Silver,62.0,21608.59515955545,Home Goods,2023-01-16,Student,1
50076,1,2,Computer,29.0,Other,Urban,Silver,14.0,2536.259915627345,Clothing,2023-03-10,Retired,26
50077,0,4,Mobile,48.0,Male,Rural,Silver,58.0,1523.804721769205,Electronics,2023-09-10,Retired,7
50078,0,2,Tablet,66.0,Other,Suburban,Platinum,11.0,4478.236642228676,Electronics,2023-01-04,Professional,4
50079,0,2,Computer,44.0,Male,Urban,Gold,70.0,3473.0542635819893,Clothing,2023-07-24,Student,2
50080,0,4,Tablet,70.0,Other,Rural,Platinum,60.0,10326.904987241185,Clothing,2023-01-04,Self-Employed,29
50081,0,1,Tablet,59.0,Female,Urban,Bronze,34.0,5597.208381769285,Clothing,2023-10-22,Student,25
50082,1,1,Mobile,25.0,Other,Rural,Bronze,79.0,1160.1422023064163,Clothing,2023-08-14,Retired,17
50083,0,4,Computer,66.0,Female,Rural,Bronze,43.0,5417.213357263604,Electronics,2023-10-11,Professional,9
50084,1,4,Computer,38.0,Other,Urban,Gold,67.0,24835.223483073176,Electronics,2023-05-19,Professional,27
50085,1,2,Computer,29.0,Female,Urban,Bronze,18.0,799.7296583478525,Electronics,2023-12-26,Retired,23
50086,1,3,Tablet,55.0,Male,Suburban,Silver,82.0,33883.05826697023,Home Goods,2023-02-22,Student,8
50087,0,4,Tablet,22.0,Other,Urban,Gold,100.0,28757.331481811503,Home Goods,2023-12-31,Self-Employed,28
50088,1,1,Computer,59.0,Female,Suburban,Platinum,59.0,7802.3437558278465,Electronics,2023-07-03,Self-Employed,30
50089,1,5,Mobile,19.0,Other,Rural,Bronze,63.0,21283.94054012527,Home Goods,2023-06-28,Self-Employed,5
50090,0,4,Mobile,22.0,Other,Rural,Bronze,95.0,28944.904532937457,Home Goods,2023-07-15,Student,12
50091,0,4,Computer,60.0,Male,Rural,Bronze,50.0,3586.7097765976005,Electronics,2023-03-09,Student,30
50092,0,2,Mobile,60.0,Other,Rural,Silver,94.0,3992.9393203187924,Clothing,2023-08-14,Student,29
50093,0,4,Tablet,22.0,Male,Suburban,Silver,98.0,25361.318963806614,Clothing,2023-08-20,Professional,23
50094,1,3,Computer,53.0,Male,Urban,Bronze,39.0,3580.3528884402763,Home Goods,2023-12-06,Retired,8
50095,0,3,Mobile,63.0,Other,Suburban,Bronze,46.0,20251.269957228833,Electronics,2023-06-26,Professional,14
50096,1,2,Mobile,64.0,Female,Urban,Silver,37.0,7418.68862862133,Clothing,2023-08-06,Student,27
50097,0,4,Tablet,61.0,Other,Rural,Bronze,56.0,23433.5116369676,Electronics,2023-08-31,Self-Employed,1
50098,0,4,Computer,27.0,Male,Suburban,Bronze,30.0,941.1357933801027,Clothing,2023-09-12,Professional,20
50099,1,5,Tablet,47.0,Female,Rural,Gold,77.0,10413.842660316574,Electronics,2023-06-02,Professional,16
50100,0,4,Tablet,45.0,Male,Urban,Gold,88.0,30618.059045289043,Electronics,2023-11-01,Professional,28
50101,0,3,Computer,26.0,Other,Rural,Gold,56.0,25650.023695924236,Home Goods,2023-02-25,Student,4
50102,0,3,Computer,38.0,Male,Urban,Bronze,85.0,28089.50004229765,Electronics,2023-05-21,Professional,29
50103,0,5,Computer,51.0,Other,Rural,Gold,50.0,23241.649094579432,Clothing,2023-10-10,Retired,18
50104,0,1,Mobile,70.0,Other,Urban,Gold,15.0,3190.629204803454,Home Goods,2023-05-24,Professional,3
50105,1,1,Tablet,50.0,Female,Urban,Gold,89.0,11391.090504620552,Electronics,2023-10-20,Student,30
50106,0,5,Computer,27.0,Female,Suburban,Platinum,94.0,30083.062604405448,Clothing,2023-06-08,Self-Employed,2
50107,0,5,Mobile,38.0,Male,Rural,Bronze,94.0,3360.6681245623745,Clothing,2023-11-11,Professional,30
50108,0,5,Computer,33.0,Male,Suburban,Gold,47.0,8112.354460308218,Electronics,2023-04-04,Retired,12
50109,1,2,Computer,42.0,Female,Rural,Bronze,6.0,1740.9955900396849,Electronics,2023-07-07,Student,29
50110,0,3,Computer,55.0,Female,Suburban,Platinum,92.0,19425.371916720193,Home Goods,2023-10-19,Self-Employed,5
50111,0,5,Tablet,64.0,Female,Suburban,Gold,74.0,22578.089425921513,Home Goods,2023-08-05,Student,16
50112,0,4,Computer,58.0,Other,Suburban,Platinum,46.0,9101.393790069007,Home Goods,2023-03-15,Student,7
50113,0,4,Computer,44.0,Male,Urban,Silver,57.0,5621.177427918865,Electronics,2023-08-19,Professional,28
50114,0,3,Tablet,69.0,Other,Urban,Platinum,56.0,19557.042240685445,Home Goods,2023-01-09,Retired,26
50115,1,5,Mobile,65.0,Female,Rural,Gold,27.0,3570.4696821615494,Home Goods,2023-01-09,Retired,28
50116,0,1,Tablet,60.0,Male,Urban,Bronze,4.0,1949.0700131651245,Home Goods,,Professional,29
50117,0,2,Computer,40.0,Male,Urban,Platinum,81.0,9032.833454990525,Clothing,2023-07-06,Professional,30
50118,0,5,Computer,37.0,Male,Urban,Silver,59.0,20918.662760371142,Home Goods,2023-07-24,Retired,5
50119,0,4,Tablet,37.0,Female,Suburban,Silver,91.0,16543.397124048362,Home Goods,2023-02-27,Self-Employed,19
50120,0,3,Computer,50.0,Male,Rural,Platinum,62.0,27738.3908734149,Electronics,2023-04-22,Retired,14
50121,0,4,Computer,23.0,Female,Suburban,Gold,34.0,2047.3191333336172,Electronics,2023-04-03,Self-Employed,29
50122,1,5,Tablet,37.0,Other,Suburban,Silver,77.0,16202.756344345065,Clothing,2023-06-16,Self-Employed,28
50123,0,3,Mobile,66.0,Female,Urban,Bronze,21.0,,Home Goods,2023-08-22,Self-Employed,12
50124,1,1,Mobile,61.0,Other,Urban,Platinum,19.0,7121.210799604345,Electronics,2023-12-29,Professional,26
50125,0,1,Tablet,56.0,Other,Rural,Silver,46.0,22926.503004677354,Electronics,2023-01-02,Professional,7
50126,0,5,Tablet,54.0,Female,Suburban,Platinum,32.0,8410.361257140947,Home Goods,2023-06-28,Professional,18
50127,0,3,Computer,35.0,Other,Suburban,Platinum,35.0,10120.743434833441,Electronics,2023-04-17,Retired,22
50128,0,1,Mobile,19.0,Male,Urban,Platinum,27.0,11216.457418054,Home Goods,2023-11-19,Retired,2
50129,0,3,Computer,57.0,Other,Rural,Platinum,35.0,8800.893334437516,Home Goods,2023-11-30,Retired,2
50130,0,3,Computer,32.0,Other,Suburban,Silver,18.0,1905.3811234856137,Home Goods,2023-05-02,Self-Employed,12
50131,0,5,Tablet,63.0,Other,Rural,Silver,4.0,187.75380755598675,Clothing,2023-10-29,Student,30
50132,0,2,Mobile,24.0,Other,Urban,Platinum,83.0,37403.478774110525,Electronics,2023-02-07,Student,28
50133,0,5,Computer,35.0,Other,Urban,Gold,19.0,683.0818696364049,Clothing,2023-10-19,Self-Employed,12
50134,0,1,Computer,70.0,Male,Suburban,Platinum,51.0,24530.443857886443,Clothing,2023-06-27,Retired,29
50135,1,2,Mobile,50.0,Male,Urban,Platinum,67.0,12852.725872093552,Home Goods,2023-03-23,Self-Employed,1
50136,0,3,Tablet,22.0,Female,Suburban,Platinum,75.0,25066.912743287176,Electronics,2023-02-12,Self-Employed,5
50137,1,3,Tablet,50.0,Male,Suburban,Gold,71.0,12006.451983196883,Home Goods,2023-05-29,Student,8
50138,0,3,Computer,59.0,Other,Rural,Silver,12.0,5455.871498938068,Electronics,2023-08-31,Self-Employed,15
50139,1,1,Computer,31.0,Female,Rural,Bronze,83.0,12702.565624952782,Electronics,2023-06-30,Self-Employed,24
50140,0,5,Mobile,23.0,Female,Urban,Platinum,52.0,1451.840248838767,Clothing,2023-04-19,Student,19
50141,0,4,Mobile,44.0,Male,Suburban,Bronze,53.0,3905.630472571042,Clothing,2023-10-19,Self-Employed,30
